,AMZN,GME,GOOG,JPM,SPY,XOM
2005-02-22,1.736,1.5747,,21.8122,82.774,31.4501
2005-02-23,1.707,1.5856,,22.1461,83.3672,32.0818
2005-02-24,1.735,1.5654,,22.2675,83.9186,33.0051
2005-02-25,1.75,1.6184,,22.4436,84.7491,34.1551
2005-02-28,1.759,1.6336,,22.1886,84.1908,34.1821
2005-03-01,1.77,1.706,,22.5164,84.6095,33.5288
2005-03-02,1.775,1.7068,,22.4557,84.5677,33.842
2005-03-03,1.783,1.7127,,22.4679,84.6025,34.0417
2005-03-04,1.793,1.7413,,22.7714,85.6564,34.3225
2005-03-07,1.816,1.7514,,22.6682,85.6983,34.0147
2005-03-08,1.791,1.7279,,22.4254,85.3772,34.0687
2005-03-09,1.77,1.7051,,22.1401,84.4281,32.8215
2005-03-10,1.745,1.7085,,22.0733,84.6165,32.5947
2005-03-11,1.738,1.7077,,21.9215,84.0233,32.9619
2005-03-14,1.73,1.6546,,22.1279,84.5467,33.0861
2005-03-15,1.709,1.7834,,22.0065,83.8488,32.5839
2005-03-16,1.693,1.7506,,22.0065,83.1369,32.5516
2005-03-17,1.699,1.7699,,21.9458,83.3044,33.1995
2005-03-18,1.708,1.7691,,21.8608,83.0571,33.8258
2005-03-21,1.684,1.7346,,21.7272,82.7488,33.5558
2005-03-22,1.658,1.6412,,21.2841,81.908,32.8809
2005-03-23,1.659,1.8474,,21.2052,81.9781,32.4436
2005-03-24,1.644,1.8979,,21.2052,82.0762,31.8551
2005-03-28,1.67,1.9711,,21.1566,82.1953,31.7957
2005-03-29,1.672,1.8996,,20.9927,81.6488,31.4609
2005-03-30,1.716,1.9122,,21.2173,82.8049,31.9846
2005-03-31,1.714,1.865,,21.0048,82.6507,32.179
2005-04-01,1.701,1.8322,,20.7923,82.2794,32.6919
2005-04-04,1.75,1.8331,,20.7065,82.4195,32.7459
2005-04-05,1.764,1.8608,,21.2032,82.8119,32.4274
2005-04-06,1.741,1.8457,,21.2645,83.0991,32.8809
2005-04-07,1.745,1.8507,,21.3381,83.5476,32.8539
2005-04-08,1.73,1.8331,,21.1541,82.6787,32.4004
2005-04-11,1.73,1.8103,,21.2277,82.7418,32.5516
