ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.11.12,ETF50,2.072697,14.91356,1.570498,0.975064,0.993538,2018.11.12
2018.11.12,ETF46,1.140878,20.26872,4.079416,1.269319,1.255427,2018.11.12
2018.11.13,ETF50,2.071311,14.63342,1.606793,0.976194,0.994008,2018.11.13
2018.11.13,ETF46,1.141667,19.86453,4.196604,1.274188,1.25638,2018.11.13
2018.11.14,ETF50,2.074136,15.5396,1.569341,0.975631,0.99353,2018.11.14
2018.11.14,ETF46,1.138808,20.80149,4.078573,1.271178,1.250973,2018.11.14
2018.11.15,ETF50,2.070871,14.64097,1.619753,0.978608,0.993311,2018.11.15
2018.11.15,ETF46,1.142886,19.76674,4.206348,1.274356,1.2528,2018.11.15
2018.11.16,ETF50,2.079343,13.31675,1.58055,0.976551,0.993038,2018.11.16
2018.11.16,ETF46,1.151676,18.14345,4.099547,1.270337,1.251632,2018.11.16
2018.11.19,ETF50,2.098533,14.73136,1.51093,0.967458,0.991276,2018.11.19
2018.11.19,ETF46,1.173926,20.21184,3.940294,1.271646,1.268452,2018.11.19
2018.11.20,ETF50,2.097709,16.49059,1.60162,0.967737,0.991461,2018.11.20
2018.11.20,ETF46,1.171801,22.31301,4.235629,1.282268,1.265622,2018.11.20
2018.11.21,ETF50,2.092003,15.30403,1.580921,0.972296,0.992467,2018.11.21
2018.11.21,ETF46,1.166987,20.78713,4.140185,1.2787,1.267136,2018.11.21
2018.11.23,ETF50,2.092436,15.83475,1.452669,0.970723,0.992271,2018.11.23
2018.11.23,ETF46,1.16958,21.26377,3.773597,1.277463,1.262013,2018.11.23
2018.11.26,ETF50,2.085738,13.93327,1.43469,0.973766,0.991652,2018.11.26
2018.11.26,ETF46,1.162019,19.05772,3.688047,1.282956,1.269026,2018.11.26
2018.11.27,ETF50,2.09764,14.047,1.340665,0.974722,0.992611,2018.11.27
2018.11.27,ETF46,1.165174,19.12394,3.42839,1.287692,1.271532,2018.11.27
2018.11.28,ETF50,2.083688,13.71423,1.306414,0.982721,0.993363,2018.11.28
2018.11.28,ETF46,1.155075,18.74795,3.313193,1.297086,1.276152,2018.11.28
2018.11.29,ETF50,2.110951,13.93636,1.272311,0.980147,0.990837,2018.11.29
2018.11.29,ETF46,1.15336,18.96932,3.217212,1.297653,1.273867,2018.11.29
2018.11.30,ETF50,2.075378,13.47098,1.295909,0.980101,0.990577,2018.11.30
2018.11.30,ETF46,1.145766,18.36951,3.262714,1.296895,1.27316,2018.11.30
2018.12.03,ETF50,2.040221,12.40056,1.383374,0.988019,0.994982,2018.12.03
2018.12.03,ETF46,1.139954,17.15197,3.509077,1.300846,1.281461,2018.12.03
2018.12.04,ETF50,2.048709,15.63502,1.294411,0.981896,0.99293,2018.12.04
2018.12.04,ETF46,1.145271,20.93727,3.220203,1.286609,1.264579,2018.12.04
2018.12.06,ETF50,2.044696,16.04099,1.441247,0.982152,0.992521,2018.12.06
2018.12.06,ETF46,1.140991,21.31444,3.578815,1.263794,1.250084,2018.12.06
2018.12.07,ETF50,2.056672,17.63983,1.384493,0.978537,0.993031,2018.12.07
2018.12.07,ETF46,1.144392,23.06196,3.406905,1.255734,1.240885,2018.12.07
2018.12.10,ETF50,2.051775,17.27238,1.460478,0.97935,0.992434,2018.12.10
2018.12.10,ETF46,1.144136,22.5902,3.643122,1.251296,1.238541,2018.12.10
2018.12.11,ETF50,2.050509,16.64789,1.370726,0.978991,0.99235,2018.12.11
2018.12.11,ETF46,1.14508,21.73909,3.351385,1.251536,1.238324,2018.12.11
2018.12.12,ETF50,2.045031,16.45454,1.342469,0.981226,0.992048,2018.12.12
2018.12.12,ETF46,1.140925,21.45594,3.291268,1.25443,1.238554,2018.12.12
2018.12.13,ETF50,2.047335,15.87902,1.332204,0.980332,0.992645,2018.12.13
2018.12.13,ETF46,1.145578,20.78814,3.265766,1.254578,1.240886,2018.12.13
2018.12.14,ETF50,2.055742,16.6252,1.32454,0.976769,0.991478,2018.12.14
2018.12.14,ETF46,1.146549,21.63245,3.240774,1.252472,1.23538,2018.12.14
2018.12.17,ETF50,2.061011,18.85555,1.371099,0.976799,0.991593,2018.12.17
2018.12.17,ETF46,1.15351,24.29783,3.307891,1.247001,1.231383,2018.12.17
2018.12.18,ETF50,2.053397,19.71627,1.429518,0.978961,0.991598,2018.12.18
2018.12.18,ETF46,1.150597,25.22747,3.440684,1.239171,1.224923,2018.12.18
2018.12.19,ETF50,2.060501,19.71845,1.463306,0.976457,0.991165,2018.12.19
2018.12.19,ETF46,1.152899,25.16622,3.532204,1.235896,1.221171,2018.12.19
2018.12.20,ETF50,2.063942,21.81771,1.480472,0.974787,0.990493,2018.12.20
2018.12.20,ETF46,1.156481,27.62074,3.576584,1.2342,1.217489,2018.12.20
2018.12.21,ETF50,2.099212,23.00568,1.544814,0.968665,0.986947,2018.12.21
2018.12.21,ETF46,1.173704,29.25835,3.690598,1.236354,1.221534,2018.12.21
2018.12.24,ETF50,2.023908,27.75248,1.557254,0.981032,0.99691,2018.12.24
2018.12.24,ETF46,1.156558,34.24375,3.594491,1.228904,1.206229,2018.12.24
2018.12.26,ETF50,2.011825,23.30498,1.572393,0.985053,0.995519,2018.12.26
2018.12.26,ETF46,1.12102,29.08825,3.543646,1.245377,1.208713,2018.12.26
2018.12.27,ETF50,2.011852,23.00113,1.448045,0.987383,0.997033,2018.12.27
2018.12.27,ETF46,1.12341,28.4976,3.242953,1.229506,1.203439,2018.12.27
2018.12.28,ETF50,2.013826,21.77428,1.391769,0.98697,0.996832,2018.12.28
2018.12.28,ETF46,1.124115,26.99473,3.172431,1.227711,1.203354,2018.12.28
2018.12.31,ETF50,2.22678,19.54016,1.342069,0.986988,0.996175,2018.12.31
2018.12.31,ETF46,1.267524,24.31741,3.080598,1.227232,1.203053,2018.12.31
2019.01.02,ETF50,2.228909,17.88846,1.343637,0.988453,0.996083,2019.01.02
2019.01.02,ETF46,1.260862,22.46325,3.141833,1.228576,1.204153,2019.01.02
2019.01.03,ETF50,2.238339,19.67031,1.331394,0.985736,0.997861,2019.01.03
2019.01.03,ETF46,1.252802,24.75513,3.111901,1.22762,1.210941,2019.01.03
2019.01.04,ETF50,2.232196,16.57623,1.347423,0.988722,0.996576,2019.01.04
2019.01.04,ETF46,1.24483,21.16104,3.15,1.228996,1.211536,2019.01.04
2019.01.07,ETF50,2.227516,16.6023,1.318466,0.988184,0.993049,2019.01.07
2019.01.07,ETF46,1.237652,21.25187,3.042546,1.233414,1.21069,2019.01.07
2019.01.08,ETF50,2.226506,15.98393,1.349532,0.986517,0.991538,2019.01.08
2019.01.08,ETF46,1.234145,20.48146,3.14237,1.230223,1.207506,2019.01.08
2019.01.09,ETF50,2.22074,15.73099,1.355492,0.98762,0.990765,2019.01.09
2019.01.09,ETF46,1.235334,20.17296,3.158248,1.229808,1.207193,2019.01.09
2019.01.10,ETF50,2.222888,15.48999,1.311963,0.986657,0.990119,2019.01.10
2019.01.10,ETF46,1.236735,19.84141,3.055292,1.228806,1.20536,2019.01.10
2019.01.11,ETF50,2.226449,14.58331,1.260658,0.986121,0.990128,2019.01.11
2019.01.11,ETF46,1.238686,18.72074,2.961284,1.227946,1.20574,2019.01.11
2019.01.14,ETF50,2.228851,15.46059,1.262236,0.985753,0.990068,2019.01.14
2019.01.14,ETF46,1.239025,19.71139,2.993056,1.227884,1.205611,2019.01.14
2019.01.15,ETF50,2.220828,15.2581,1.278918,0.98752,0.99009,2019.01.15
2019.01.15,ETF46,1.231813,19.51579,3.028527,1.231141,1.207334,2019.01.15
2019.01.16,ETF50,2.219618,15.73592,1.217742,0.987416,0.989799,2019.01.16
2019.01.16,ETF46,1.230924,20.03707,2.873292,1.232625,1.206341,2019.01.16
2019.01.17,ETF50,2.219368,15.05226,1.18398,0.987289,0.989481,2019.01.17
2019.01.17,ETF46,1.2307,19.16737,2.792997,1.230056,1.204639,2019.01.17
2019.01.18,ETF50,2.222109,14.9021,1.180514,0.987799,0.98947,2019.01.18
2019.01.18,ETF46,1.235294,18.8917,2.794874,1.223621,1.198606,2019.01.18
2019.01.22,ETF50,2.226573,17.457,1.170828,0.985015,0.98923,2019.01.22
2019.01.22,ETF46,1.240761,21.87733,2.794934,1.221098,1.199906,2019.01.22
2019.01.23,ETF50,2.228767,16.46498,1.215108,0.983711,0.98914,2019.01.23
2019.01.23,ETF46,1.242203,20.72686,2.91266,1.22221,1.200908,2019.01.23
2019.01.24,ETF50,2.224801,16.02784,1.223691,0.985488,0.989037,2019.01.24
2019.01.24,ETF46,1.241998,20.37598,2.940378,1.224606,1.205226,2019.01.24
2019.01.25,ETF50,2.220334,14.8699,1.226234,0.987125,0.988285,2019.01.25
2019.01.25,ETF46,1.237653,19.06488,2.927503,1.227896,1.207686,2019.01.25
2019.01.28,ETF50,2.226942,16.20229,1.173844,0.984855,0.988023,2019.01.28
