ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.11.05,DA001517,2.428687,26.61788,5.144313,0.912106,1.170116,2018.11.05
2018.11.05,DA109942,4.298764,24.85517,8.681006,0.979984,1.043783,2018.11.05
2018.11.06,DA001517,2.426441,25.53731,4.932934,0.912501,1.165457,2018.11.06
2018.11.06,DA109942,4.306063,24.0366,8.476926,0.966086,1.04117,2018.11.06
2018.11.07,DA001517,2.435816,24.29095,4.798269,0.915246,1.154676,2018.11.07
2018.11.07,DA109942,4.305466,22.89305,8.232508,0.962191,1.034211,2018.11.07
2018.11.08,DA001517,2.43034,24.65316,4.703886,0.915873,1.169129,2018.11.08
2018.11.08,DA109942,4.305418,23.05549,8.153884,0.961683,1.040684,2018.11.08
2018.11.09,DA001517,2.440259,24.28285,4.627749,0.91432,1.173683,2018.11.09
2018.11.09,DA109942,4.308351,22.51722,7.487357,0.960984,1.04472,2018.11.09
2018.11.12,DA001517,2.456276,24.82018,4.60225,0.912811,1.189569,2018.11.12
2018.11.12,DA109942,4.309308,22.94422,7.281084,0.959755,1.059008,2018.11.12
2018.11.13,DA001517,2.453354,23.89504,4.462352,0.90916,1.182021,2018.11.13
2018.11.13,DA109942,4.315655,22.22059,7.31475,0.960127,1.055466,2018.11.13
2018.11.14,DA001517,2.44843,23.81129,4.426083,0.905346,1.18667,2018.11.14
2018.11.14,DA109942,4.314476,22.35462,7.591142,0.961432,1.06416,2018.11.14
2018.11.15,DA001517,2.437521,23.32194,4.374875,0.905509,1.194041,2018.11.15
2018.11.15,DA109942,4.312772,22.11698,8.192215,0.960769,1.070932,2018.11.15
2018.11.16,DA001517,2.435557,22.97312,4.315641,0.901815,1.195455,2018.11.16
2018.11.16,DA109942,4.321673,21.42323,7.193717,0.953398,1.067127,2018.11.16
2018.11.19,DA001517,2.426502,22.62315,4.295837,0.90214,1.196598,2018.11.19
2018.11.19,DA109942,4.331947,21.34738,7.949617,0.948269,1.068671,2018.11.19
2018.11.20,DA001517,2.428307,22.12676,4.171793,0.899417,1.19087,2018.11.20
2018.11.20,DA109942,4.334766,21.07223,8.06326,0.946977,1.066645,2018.11.20
2018.11.21,DA001517,2.423053,22.64296,4.092605,0.900374,1.211994,2018.11.21
