ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.11.12,ETF66,4.427073,14.70099,2.615819,0.874527,0.951071,2018.11.12
2018.11.12,DA001928,3.774936,14.76004,2.184455,1.125919,1.057949,2018.11.12
2018.11.13,ETF66,4.427145,14.89549,2.598514,0.87493,0.953822,2018.11.13
2018.11.13,DA001928,3.772909,14.87946,2.179719,1.124445,1.057109,2018.11.13
2018.11.14,ETF66,4.427209,14.6865,2.654302,0.874154,0.953851,2018.11.14
2018.11.14,DA001928,3.775792,14.66531,2.135554,1.119405,1.055836,2018.11.14
2018.11.15,ETF66,4.425093,15.88641,2.891478,0.873495,0.979394,2018.11.15
2018.11.15,DA001928,3.773882,15.15021,2.240055,1.115273,1.042617,2018.11.15
2018.11.16,ETF66,4.426815,15.26102,2.812733,0.873816,0.978987,2018.11.16
2018.11.16,DA001928,3.774053,14.48184,2.208068,1.112435,1.039887,2018.11.16
2018.11.19,ETF66,4.429141,14.89009,2.740526,0.870714,0.976818,2018.11.19
2018.11.19,DA001928,3.783006,14.13783,2.104074,1.111146,1.040146,2018.11.19
2018.11.20,ETF66,4.424985,15.56585,2.702631,0.859931,0.965938,2018.11.20
2018.11.20,DA001928,3.780758,14.99496,2.061081,1.109808,1.043078,2018.11.20
2018.11.21,ETF66,4.428209,15.20855,2.601374,0.859676,0.96325,2018.11.21
2018.11.21,DA001928,3.77968,14.69919,2.018184,1.11172,1.042974,2018.11.21
2018.11.22,ETF66,4.413782,14.73695,2.553971,0.856058,0.962621,2018.11.22
2018.11.22,DA001928,3.779282,14.22855,1.927712,1.111778,1.041932,2018.11.22
2018.11.23,ETF66,4.410347,14.68591,2.4907,0.854875,0.963101,2018.11.23
2018.11.23,DA001928,3.775059,14.15402,1.860061,1.111601,1.04149,2018.11.23
2018.11.26,ETF66,4.423062,14.89308,2.550028,0.856341,0.96419,2018.11.26
2018.11.26,DA001928,3.789516,14.38246,1.851601,1.111365,1.042452,2018.11.26
2018.11.27,ETF66,4.423011,14.72645,2.545541,0.854228,0.963291,2018.11.27
2018.11.27,DA001928,3.786741,14.22646,1.829118,1.110091,1.042706,2018.11.27
2018.11.28,ETF66,4.423453,14.19978,2.559542,0.853424,0.961389,2018.11.28
2018.11.28,DA001928,3.786378,13.7128,1.833142,1.110823,1.042676,2018.11.28
2018.11.29,ETF66,4.417243,14.01598,2.581283,0.854354,0.959914,2018.11.29
2018.11.29,DA001928,3.777569,13.48287,1.849549,1.110489,1.04253,2018.11.29
2018.11.30,ETF66,4.552981,13.74799,2.593991,0.853322,0.957499,2018.11.30
2018.11.30,DA001928,3.802515,13.19332,1.868581,1.109366,1.042964,2018.11.30
2018.12.03,ETF66,4.552007,14.50115,2.60379,0.856422,0.948934,2018.12.03
2018.12.03,DA001928,3.800342,14.11356,1.903033,1.112713,1.04854,2018.12.03
2018.12.04,ETF66,4.554863,14.4433,2.558278,0.854873,0.94887,2018.12.04
2018.12.04,DA001928,3.789467,14.05845,1.874869,1.110448,1.048854,2018.12.04
2018.12.05,ETF66,4.556642,14.557,2.488614,0.854596,0.946469,2018.12.05
2018.12.05,DA001928,3.795252,14.2809,1.849876,1.109301,1.051707,2018.12.05
2018.12.06,ETF66,4.551994,15.91212,2.484423,0.85772,0.949145,2018.12.06
2018.12.06,DA001928,3.79072,15.9492,1.865604,1.10752,1.057331,2018.12.06
2018.12.07,ETF66,4.559518,15.70337,2.593262,0.863228,0.953664,2018.12.07
2018.12.07,DA001928,3.786024,15.65026,1.97994,1.107568,1.055696,2018.12.07
2018.12.10,ETF66,4.554144,16.30953,2.601227,0.862811,0.969543,2018.12.10
2018.12.10,DA001928,3.777551,15.92799,2.044027,1.105324,1.052868,2018.12.10
2018.12.11,ETF66,4.554476,15.97942,2.538817,0.861252,0.967366,2018.12.11
2018.12.11,DA001928,3.771299,15.62702,2.039627,1.105742,1.051554,2018.12.11
2018.12.12,ETF66,4.556186,16.21959,2.536582,0.866685,0.971588,2018.12.12
2018.12.12,DA001928,3.775541,15.83142,1.968011,1.107721,1.051451,2018.12.12
2018.12.13,ETF66,4.552654,15.71162,2.485797,0.868249,0.973382,2018.12.13
2018.12.13,DA001928,3.783167,15.32378,1.885652,1.109444,1.052258,2018.12.13
2018.12.14,ETF66,4.549054,15.21223,2.384323,0.869111,0.974307,2018.12.14
2018.12.14,DA001928,3.785947,14.84135,1.812904,1.110301,1.052555,2018.12.14
2018.12.17,ETF66,4.557078,15.98907,2.359374,0.870019,0.97632,2018.12.17
2018.12.17,DA001928,3.786965,15.59003,1.798535,1.110626,1.051458,2018.12.17
2018.12.18,ETF66,4.551789,15.88969,2.30199,0.872255,0.97476,2018.12.18
2018.12.18,DA001928,3.780001,15.48014,1.793592,1.10635,1.047877,2018.12.18
2018.12.19,ETF66,4.55651,15.52345,2.345322,0.872792,0.977823,2018.12.19
2018.12.19,DA001928,3.787165,15.03709,1.826584,1.105053,1.045387,2018.12.19
2018.12.20,ETF66,4.557486,15.73045,2.444429,0.866907,0.970537,2018.12.20
2018.12.20,DA001928,3.78612,15.34408,1.854733,1.102596,1.047376,2018.12.20
2018.12.21,ETF66,4.54413,15.52844,2.41852,0.864899,0.968427,2018.12.21
2018.12.21,DA001928,3.787059,15.13994,1.871362,1.10243,1.046413,2018.12.21
2018.12.24,ETF66,4.638984,14.5974,2.366587,0.863591,0.964131,2018.12.24
2018.12.24,DA001928,3.788764,14.28681,1.810023,1.103334,1.04717,2018.12.24
2018.12.25,ETF66,4.543655,14.54757,2.223194,0.858969,0.962072,2018.12.25
2018.12.25,DA001928,3.788764,14.28805,1.710961,1.103991,1.048496,2018.12.25
2018.12.26,ETF66,4.543655,14.49491,2.073657,0.85847,0.958978,2018.12.26
2018.12.26,DA001928,3.788764,14.28594,1.578311,1.104196,1.049528,2018.12.26
2018.12.27,ETF66,4.629278,14.79722,2.189861,0.861254,0.959078,2018.12.27
2018.12.27,DA001928,3.785907,14.63749,1.656198,1.106188,1.051043,2018.12.27
